"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"gene:Solyc00g500063.1",589.495689832296,-0.020608912378638,0.505446699162222,-0.0407736610265677,0.967476337347506,0.985996341125301,"gene:Solyc00g500063.1"
"gene:Solyc00g500068.1",184.82111038765,-0.209083019156873,0.316049076311579,-0.661552381664762,0.508258133738944,0.715939768251895,"gene:Solyc00g500068.1"
"gene:Solyc00g500069.1",2.74990558849196,-5.03644005712546,3.17703248934406,-1.5852655186933,0.112906019863354,0.287751057490238,"gene:Solyc00g500069.1"
"gene:Solyc00g500070.1",15.8019766231733,-0.599188158850415,0.326288017847292,-1.83637806501017,0.0663017613834115,0.197524943916125,"gene:Solyc00g500070.1"
"gene:Solyc00g500071.1",41.5312167190766,-0.96564222861232,0.984455882498983,-0.980889286944068,0.326647341023353,0.561395391060592,"gene:Solyc00g500071.1"
"gene:Solyc00g500072.1",2.10666180292887,0.466289116287649,1.77421867004706,0.262813780600833,0.792694113435375,0.90437170365391,"gene:Solyc00g500072.1"
"gene:Solyc00g500073.1",12.4239749872614,-0.171385384104943,0.511958543779933,-0.33476418391137,0.737802980215082,0.872421169690811,"gene:Solyc00g500073.1"
"gene:Solyc00g500074.1",5.74914705965461,1.31544819360668,1.39209026706878,0.94494460935821,0.344687155407457,0.579596601764715,"gene:Solyc00g500074.1"
"gene:Solyc00g500075.1",5.6302727832559,0.822461967617135,0.971794961690567,0.846332817147306,0.397367105428607,0.626431158385302,"gene:Solyc00g500075.1"
"gene:Solyc00g500081.1",7.02617093855884,-2.19048242637737,1.71707772172908,-1.27570371373264,0.202060275298147,0.421908296770014,"gene:Solyc00g500081.1"
"gene:Solyc00g500076.1",11.5209330060711,-1.13545851305523,1.23222940338654,-0.921466822601899,0.356806755167641,0.591670302548753,"gene:Solyc00g500076.1"
"gene:Solyc00g500077.1",22.060672214337,-0.0996117316291942,0.557866952877916,-0.178558222736297,0.858284600627451,0.939134277737284,"gene:Solyc00g500077.1"
"gene:Solyc00g500078.1",13.3127631815892,0.682951170667203,0.463077481011772,1.47480972120482,0.14026370694433,0.333264033477216,"gene:Solyc00g500078.1"
"gene:Solyc00g500079.1",25.9905545337275,0.789757786383901,0.536872587287856,1.47103391956285,0.141281943957336,0.33459911891315,"gene:Solyc00g500079.1"
"gene:Solyc00g500080.1",38.9505932089928,1.29733006070391,0.348959738788487,3.71770699166604,0.0002010392491443,0.00176828306490172,"gene:Solyc00g500080.1"
"gene:Solyc00g500083.1",178.960752570056,0.408276764140824,0.245826036084989,1.66083613698132,0.0967463612693834,0.258442449065497,"gene:Solyc00g500083.1"
"gene:Solyc00g500085.2",4.79284433967556,0.132452461115347,1.24704534174328,0.106213027451101,0.915413335004051,0.966964529056316,"gene:Solyc00g500085.2"
"gene:Solyc00g160290.1",9.96847356171073,-0.160382209210719,0.911870831740735,-0.175882596117867,0.860386178487382,0.939974074296813,"gene:Solyc00g160290.1"
"gene:Solyc00g500086.1",9.63287167281114,0.61193647909551,1.12457072506597,0.544151172937223,0.586337448603873,0.773461660789834,"gene:Solyc00g500086.1"
"gene:Solyc00g500091.2",0,NA,NA,NA,NA,NA,"gene:Solyc00g500091.2"
"gene:Solyc00g500093.1",4.42407435679387,5.4143092379405,1.34895623633389,4.01370266292344,5.97736348078795e-05,0.000605905995731058,"gene:Solyc00g500093.1"
"gene:Solyc00g500087.1",5.68341491801603,-0.502996650246301,0.670458740427698,-0.750227597786898,0.453117640027392,0.672891097075169,"gene:Solyc00g500087.1"
"gene:Solyc00g500088.2",6.05796795536371,-0.601562544397582,1.55864902954597,-0.385951252010092,0.699532772095904,0.84992197386443,"gene:Solyc00g500088.2"
"gene:Solyc00g500095.1",11.3106676681902,6.45963707222115,2.77321764182346,2.3292932277662,0.0198435369022088,0.0803201844133065,"gene:Solyc00g500095.1"
"gene:Solyc00g011560.1",0,NA,NA,NA,NA,NA,"gene:Solyc00g011560.1"
